IntermediateZone2011Code,IntermediateZone2011Name
S02001802,Glenrothes Caskieberran and Rimbleton
S02001803,Glenrothes Auchmuty
S02001804,Glenrothes Stenton and Finglassie
S02001805,Glenrothes Pitteuchar
S02001806,Glenrothes Woodside
S02001807,Glenrothes Balgeddie and Town Park
S02001808,Glenrothes Collydean
S02001809,Glenrothes Cadham and Pitcoudie
S02001810,Glenrothes Balfarg Pitcairn and Coul
S02001811,Markinch and Star
S02001812,Windygates and Coaltown
S02001813,"Buckhaven, Denbeath and Muiredge"
S02001814,Methil Methilhill
S02001815,Methil West
S02001816,Methil East
S02001817,Leven East
S02001818,Leven West
S02001819,Leven North
S02001820,Largo
S02001821,Kennoway and Bonnybank
S02001822,Kettle and Ladybank
S02001823,Falkland and Freuchie
S02001824,Auchtermuchty and Gateside
S02001825,Newburgh
S02001826,Cupar West and Springfield
S02001827,Cupar Central
S02001828,Cupar East
S02001829,Dairsie Ceres and Dunino
S02001830,Elie Colinsburgh and Largoward
S02001831,St Monans and Pittenweem
S02001832,Anstruther
S02001833,Crail and Boarhills
S02001834,St Andrews South East
S02001835,St Andrews Central
S02001836,St Andrews South West
S02001837,St Andrews North and Strathkinness
S02001838,Leuchars and Guardbridge
S02001839,Balmullo and Gauldry
S02001840,Tayport
S02001841,Newport and Wormit
S02001842,Darnley East
S02001843,Darnley North
S02001844,Darnley West
S02001845,Nitshill
S02001846,Crookston South
S02001847,Crookston North
S02001848,Pollok South and West
S02001849,Pollok North and East
S02001850,Cardonald South and East
S02001851,Cardonald North
S02001852,Cardonald West and Central
S02001853,Penilee
S02001854,Hillington
S02001855,Drumoyne and Shieldhall
S02001856,Govan and Linthouse
S02001857,Craigton
S02001858,Mosspark
S02001859,Ibrox
S02001860,Ibrox East and Cessnock
S02001861,Kinning Park and Festival Park
S02001862,Kingston West and Dumbreck
S02001863,Pollokshields West
S02001864,Pollokshields East
S02001865,Govanhill West
S02001866,Govanhill East and Aikenhead
S02001867,Battlefield
S02001868,Strathbungo
S02001869,Maxwell Park
S02001870,Shawlands West
S02001871,Shawlands East
S02001872,Langside
S02001873,Pollokshaws
S02001874,Carnwadric West
S02001875,Carnwadric East
S02001876,Newlands
S02001877,Merrylee and Millbrae
S02001878,Muirend and Old Cathcart
S02001879,Carmunnock North
S02001880,Carmunnock South
S02001881,Glenwood South
S02001882,Glenwood North
S02001883,Castlemilk
S02001884,Kingspark South
S02001885,Kingspark North
S02001886,Cathcart
S02001887,Mount Florida
S02001888,Toryglen and Oatlands
S02001889,Gorbals and Hutchesontown
S02001890,Laurieston and Tradeston
S02001891,Calton and Gallowgate
S02001892,Bridgeton
S02001893,Dalmarnock
S02001894,Parkhead West and Barrowfield
S02001895,Parkhead East and Braidfauld North
S02001896,Braidfauld
S02001897,Shettleston South
S02001898,Carmyle and Mount Vernon South
S02001899,Mount Vernon North and Sandyhills
S02001900,Baillieston West
S02001901,Baillieston East
S02001902,Garrowhill West
S02001903,Garrowhill East and Swinton
S02001904,Easterhouse East
S02001905,Central Easterhouse
S02001906,"Garthamlock, Auchinlea and Gartloch"
S02001907,North Barlanark and Easterhouse South
S02001908,Barlanark
S02001909,Greenfield
S02001910,Shettleston North
S02001911,Tollcross
S02001912,Old Shettleston and Parkhead North
S02001913,Carntyne
S02001914,"Cranhill, Lightburn and Queenslie South"
S02001915,Craigend and Ruchazie
S02001916,Riddrie and Hogganfield
S02001917,Blackhill and Barmulloch East
S02001918,Robroyston and Millerston
S02001919,Balornock
S02001920,Barmulloch
S02001921,Petershill
S02001922,Springburn
S02001923,Springburn East and Cowlairs
S02001924,Cowlairs and Port Dundas
S02001925,Sighthill
S02001926,"Roystonhill, Blochairn, and Provanmill"
S02001927,Dennistoun North
S02001928,Alexandra Parade
S02001929,Carntyne West and Haghill
S02001930,Dennistoun
S02001931,Gallowgate North and Bellgrove
S02001932,City Centre East
S02001933,City Centre West
S02001934,City Centre South
S02001935,Anderston
S02001936,Finnieston and Kelvinhaugh
S02001937,Woodlands
S02001938,Woodside
S02001939,Firhill
S02001940,Keppochhill
S02001941,Ruchill
S02001942,Possil Park
S02001943,Milton West
S02001944,Milton East
S02001945,Summerston Central and West
S02001946,Summerston North
S02001947,Maryhill East
S02001948,Maryhill West
S02001949,Wyndford
S02001950,Kelvindale
S02001951,North Kelvin
S02001952,Kelvingrove and University
S02001953,Hillhead
S02001954,Glasgow Harbour and Partick South
S02001955,Partick
S02001956,Partickhill and Hyndland
S02001957,Dowanhill
S02001958,Kelvinside and Jordanhill
S02001959,Broomhill
S02001960,Victoria Park
S02001961,Whiteinch
S02001962,Scotstoun North and East
S02001963,Scotstoun South and West
S02001964,Yoker South
S02001965,Yoker North
S02001966,Knightswood West
S02001967,Knightswood East
S02001968,Knightswood Park West
S02001969,Knightswood Park East
S02001970,Anniesland East
S02001971,Anniesland West
S02001972,Blairdardie East
S02001973,Blairdardie West
S02001974,Drumchapel South
S02001975,Drumchapel North
S02001976,Drumry East
S02001977,Drumry West
S02001978,Lochaber West
S02001979,Fort William North
S02001980,Fort William South
S02001981,Lochaber East and North
S02001982,Badenoch and Strathspey South
S02001983,Badenoch and Strathspey Central
S02001984,Badenoch and Strathspey North
S02001985,Nairn Rural
S02001986,Nairn East
S02001987,Nairn West
S02001988,Inverness East Rural
S02001989,Inverness Culloden and Balloch
S02001990,Inverness Smithton
S02001991,Inverness Westhill
S02001992,Inverness Inshes
S02001993,Inverness Slackbuie
S02001994,Inverness Lochardil and Holm Mains
S02001995,Inverness Drummond
S02001996,Inverness Hilton
S02001997,Inverness Drakies
S02001998,"Inverness Central, Raigmore and Longman"
S02001999,Inverness Crown and Haugh
S02002000,Inverness Ballifeary and Dalneigh
S02002001,Inverness Muirtown
S02002002,Inverness Merkinch
S02002003,Inverness Scorguie
S02002004,Inverness Kinmylies and South West
S02002005,Inverness West Rural
S02002006,Loch Ness
S02002007,Lochlash
S02002008,Skye South
S02002009,Skye North East
S02002010,Skye North West
S02002011,Ross and Cromarty South West
S02002012,Ross and Cromarty North West
S02002013,Ross and Cromarty Central
S02002014,Ross and Cromarty East
S02002015,Muir of Ord
S02002016,Conon
S02002017,Dingwall
S02002018,Black Isle South
S02002019,Black Isle North
S02002020,Alness
S02002021,Invergordon
S02002022,Seaboard
S02002023,Tain
S02002024,Sutherland South
S02002025,Sutherland East
S02002026,Caithness South
S02002027,Wick South
S02002028,Wick North
S02002029,Caithness North East
S02002030,Caithness North West
S02002031,Thurso East
S02002032,Thurso West
S02002033,Sutherland North and West
S02002034,Kilmacolm Central
S02002035,"Kilmacolm, Quarriers, Greenock Upper East/Central"
S02002036,Inverkip and Wemyss Bay
S02002037,"West Braeside, East Inverkip and West Gourock"
S02002038,Gourock Upper and West Central and Upper Larkfield
S02002039,"Gourock Central, Upper East and IRH"
S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig"
S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl"
S02002042,"Gourock East, Greenock West and Lyle Road"
S02002043,Greenock West and Central
S02002044,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton"
S02002045,Greenock Upper Central
S02002046,Greenock Town Centre and East Central
S02002047,Greenock East
S02002048,"Port Glasgow Upper, West and Central"
S02002049,"Port Glasgow Mid, East and Central"
S02002050,Port Glasgow Upper East
S02002051,Rural South Midlothian
S02002052,Penicuik Southeast
S02002053,Penicuik Southwest
S02002054,Penicuik East
S02002055,Penicuik North
S02002056,Pentland
S02002057,Roslin and Bilston
S02002058,Straiton
S02002059,Loanhead
S02002060,Bonnyrigg South
S02002061,Bonnyrigg North
S02002062,Newbattle and Dalhousie
S02002063,Eskbank
S02002064,Shawfair
S02002065,Thornybank
S02002066,Dalkeith
S02002067,Pathhead and Rural East Midlothian
S02002068,Easthouses
S02002069,Mayfield
S02002070,Newtongrange
S02002071,North Gorebridge
S02002072,Gorebridge and Middleton
S02002073,South Speyside and the Cabrach
S02002074,North Speyside
S02002075,Rural Keith and Strathisla
S02002076,Keith and Fife Keith
S02002077,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock"
S02002078,Buckie Central East
S02002079,Buckie West and Mains of Buckie
S02002080,"Mosstodloch, Portgordon and seaward"
S02002081,"Fochabers, Aultmore, Clochan and Ordiquish"
S02002082,"Heldon West, Fogwatt to Inchberry"
S02002083,"Lhanbryde, Urquhart, Pitgavney and seaward"
S02002084,Elgin Cathedral to Ashgrove and Pinefield
S02002085,New Elgin East
S02002086,New Elgin West
S02002087,Elgin Central West
S02002088,Elgin Bishopmill East and Ladyhill
S02002089,Elgin Bishopmill West and Newfield
S02002090,Lossiemouth East and Seatown
S02002091,Lossiemouth West
S02002092,"Burghead, Roseisle and Laich"
S02002093,"Findhorn, Kinloss and Pluscarden Valley"
S02002094,Forres Central East and seaward
S02002095,Forres South West and Mannachie
S02002096,"Rafford, Dallas, Dyke to Dava"
S02002097,Arran
S02002098,Springside and Rural
S02002099,Irvine Tarryholme
S02002100,Dreghorn
S02002101,Irvine Broomlands
S02002102,Irvine Bourtreehill
S02002103,Irvine Girdle Toll and Staneca
S02002104,Irvine Perceton and Lawthorn
S02002105,Irvine Castlepark North
S02002106,Irvine Castlepark South
S02002107,Irvine East
S02002108,Irvine Central
S02002109,Irvine Fullarton
S02002110,Stevenston Ardeer
S02002111,Saltcoats Central
S02002112,Ardrossan Central
S02002113,Ardrossan North West
S02002114,Ardrossan North East
S02002115,Saltcoats North West
S02002116,Saltcoats North East
S02002117,Stevenston North West
S02002118,Stevenston Hayocks
S02002119,Kilwinning Whitehirst Park and Woodside
S02002120,Kilwinning Pennyburn
S02002121,Kilwinning West and Blacklands
S02002122,Kilwinning Central and North
S02002123,Dalry East and Rural
S02002124,Dalry West
S02002125,Fairlie and Rural
S02002126,West Kilbride and Seamill
S02002127,Largs South
S02002128,Largs Central and Cumbrae
S02002129,Largs North
S02002130,Skelmorlie and Rural
S02002131,Kilbirnie North
S02002132,Kilbirnie South and Longbar
S02002133,Beith West
S02002134,Beith East and Rural
S02002135,Overtown
S02002136,Netherton and Kirkhill
S02002137,Muirhouse
S02002138,Muirhouse and Knowetop
S02002139,Craigneuk Wishaw
S02002140,Pather
S02002141,Wishaw South
S02002142,Wishaw North
S02002143,Coltness
S02002144,Wishaw East
S02002145,Newmains
S02002146,Allanton - Newmains Rural
S02002147,Shotts
S02002148,Stane
S02002149,Harthill and Salsburgh
S02002150,Cleland
S02002151,Newarthill
S02002152,Carfin North
S02002153,Clydesdale and New Stevenston
S02002154,Carfin and Cleekhimin
S02002155,Motherwell South
S02002156,Ladywell
S02002157,Motherwell West
S02002158,Motherwell North
S02002159,Forgewood
S02002160,Holytown
S02002161,Milnwood
S02002162,Orbiston
S02002163,Bellshill South
S02002164,Hattonrigg
S02002165,Bellshill Central
S02002166,Fallside
S02002167,Viewpark
S02002168,Birkenshaw
S02002169,Kirkwood and Bargeddie
S02002170,Kirkshaws
S02002171,Dundyvan
S02002172,Drumpellier and Langloan
S02002173,Coatbridge West
S02002174,Townhead
S02002175,Sunnyside and Cliftonville
S02002176,Cliftonville
