WARD,WARDn,PFN,PFNn,LAD,LADn
S13003082,Johnstone South and Elderslie,S32000013_003,Renfrew,S12000038,Renfrewshire
S13003075,Renfrew North and Braehead,S32000013_003,Renfrew,S12000038,Renfrewshire
S13003076,Renfrew South and Gallowhill,S32000013_003,Renfrew,S12000038,Renfrewshire
S13002848,Banff and District,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002851,Central Buchan,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002856,Ellon and District,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002850,Fraserburgh and District,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002855,Mid Formartine,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002852,Peterhead North and Rattray,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002853,Peterhead South and Cruden,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002849,Troup,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002854,Turriff and District,S32000015_001,Aberdeenshire North,S12000034,Aberdeenshire
S13002862,"Aboyne, Upper Deeside and Donside",S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002863,Banchory and Mid Deeside,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002859,East Garioch,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002861,"Huntly, Strathbogie and Howe of Alford",S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002858,Inverurie and District,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002866,Mearns,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002864,North Kincardine,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002865,Stonehaven and Lower Deeside,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002857,West Garioch,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002860,Westhill and District,S32000015_002,Aberdeenshire South,S12000034,Aberdeenshire
S13002836,Bridge of Don,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002835,Dyce/Bucksburn/Danestone,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002842,George St/Harbour,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002839,Hilton/Woodside/Stockethill,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002837,Kingswells/Sheddocksley/Summerhill,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002838,Northfield/Mastrick North,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002840,Tillydrone/Seaton/Old Aberdeen,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002841,Midstocket/Rosemount,S32000015_003,Aberdeen City North,S12000033,Aberdeen City
S13002845,Airyhall/Broomhill/Garthdee,S32000015_004,Aberdeen City South,S12000033,Aberdeen City
S13002844,Hazlehead/Queens Cross/Countesswells,S32000015_004,Aberdeen City South,S12000033,Aberdeen City
S13002847,Kincorth/Nigg/Cove,S32000015_004,Aberdeen City South,S12000033,Aberdeen City
S13002843,Lower Deeside,S32000015_004,Aberdeen City South,S12000033,Aberdeen City
S13002846,Torry/Ferryhill,S32000015_004,Aberdeen City South,S12000033,Aberdeen City
S13003026,Buckie,S32000015_005,Moray,S12000020,Moray
S13003029,Elgin City North,S32000015_005,Moray,S12000020,Moray
S13003030,Elgin City South,S32000015_005,Moray,S12000020,Moray
S13003027,Fochabers Lhanbryde,S32000015_005,Moray,S12000020,Moray
S13003031,Forres,S32000015_005,Moray,S12000020,Moray
S13003028,Heldon and Laich,S32000015_005,Moray,S12000020,Moray
S13003025,Keith and Cullen,S32000015_005,Moray,S12000020,Moray
S13003024,Speyside Glenlivet,S32000015_005,Moray,S12000020,Moray
S13002953,"Burntisland, Kinghorn and Western Kirkcaldy",S32000016_001,Central Fife,S12000047,Fife
S13002959,Glenrothes Central and Thornton,S32000016_001,Central Fife,S12000047,Fife
S13002958,"Glenrothes North, Leslie and Markinch",S32000016_001,Central Fife,S12000047,Fife
S13003129,Glenrothes West and Kinglassie,S32000016_001,Central Fife,S12000047,Fife
S13002955,Kirkcaldy Central,S32000016_001,Central Fife,S12000047,Fife
S13002956,Kirkcaldy East,S32000016_001,Central Fife,S12000047,Fife
S13002954,Kirkcaldy North,S32000016_001,Central Fife,S12000047,Fife
S13002966,"Buckhaven, Methil and Wemyss Villages",S32000016_002,East Fife,S12000047,Fife
S13002964,Cupar,S32000016_002,East Fife,S12000047,Fife
S13002963,East Neuk and Landward,S32000016_002,East Fife,S12000047,Fife
S13002960,Howe of Fife and Tay Coast,S32000016_002,East Fife,S12000047,Fife
S13002965,"Leven, Kennoway and Largo",S32000016_002,East Fife,S12000047,Fife
S13002962,St Andrews,S32000016_002,East Fife,S12000047,Fife
S13002961,Tay Bridgehead,S32000016_002,East Fife,S12000047,Fife
S13003128,Cowdenbeath,S32000016_003,West Fife,S12000047,Fife
S13002947,Dunfermline Central,S32000016_003,West Fife,S12000047,Fife
S13002946,Dunfermline North,S32000016_003,West Fife,S12000047,Fife
S13002948,Dunfermline South,S32000016_003,West Fife,S12000047,Fife
S13002950,Inverkeithing and Dalgety Bay,S32000016_003,West Fife,S12000047,Fife
S13003130,"Lochgelly, Cardenden and Benarty",S32000016_003,West Fife,S12000047,Fife
S13002949,Rosyth,S32000016_003,West Fife,S12000047,Fife
S13003131,West Fife and Coastal Villages,S32000016_003,West Fife,S12000047,Fife
